https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LTC,Volume USD
1659830400000.0,2022-08-07 00:00:00,LTC/USD,60.84,62.025,59.9,61.125,189996.53088588957,11613537.9504
1659744000000.0,2022-08-06 00:00:00,LTC/USD,62.5,62.59,60.5,60.84,197530.14020299143,12017733.72995
1659657600000.0,2022-08-05 00:00:00,LTC/USD,59.625,62.565,59.61,62.505,350882.0980257579,21931885.5371
1659571200000.0,2022-08-04 00:00:00,LTC/USD,57.765,60.815,57.61,59.625,345350.37164192874,20591515.90915
1659484800000.0,2022-08-03 00:00:00,LTC/USD,58.095,60.135,56.705,57.765,351625.00930840475,20311618.6627
1659398400000.0,2022-08-02 00:00:00,LTC/USD,59.48,59.865,56.66,58.095,323355.955895516,18785364.25775
1659312000000.0,2022-08-01 00:00:00,LTC/USD,59.75,60.75,58.255,59.48,251026.74859448557,14931071.0064
1659225600000.0,2022-07-31 00:00:00,LTC/USD,60.475,63.035,59.61,59.75,257364.38895983264,15377522.24035
1659139200000.0,2022-07-30 00:00:00,LTC/USD,60.645,64.11,59.96,60.475,322202.0214485324,19485167.2471
1659052800000.0,2022-07-29 00:00:00,LTC/USD,63.43,64.59,59.77,60.645,361624.36763954157,21930709.7755
1658966400000.0,2022-07-28 00:00:00,LTC/USD,59.02,64.3,58.05,63.43,409131.6279891219,25951219.16335
1658880000000.0,2022-07-27 00:00:00,LTC/USD,53.91,59.09,53.02,59.02,393952.61903592,23251083.5755
1658793600000.0,2022-07-26 00:00:00,LTC/USD,53.96,54.145,51.955,53.91,345547.14435447974,18628446.55215
1658707200000.0,2022-07-25 00:00:00,LTC/USD,58.37,59.0,53.9,53.96,346280.4782885471,18685294.60845
1658620800000.0,2022-07-24 00:00:00,LTC/USD,56.335,59.785,56.315,58.37,243523.5399794415,14214469.0286
1658534400000.0,2022-07-23 00:00:00,LTC/USD,56.09,57.25,54.5,56.335,179544.16736398332,10114620.66845
1658448000000.0,2022-07-22 00:00:00,LTC/USD,58.025,59.18,55.505,56.09,317889.93600641825,17830446.5106
1658361600000.0,2022-07-21 00:00:00,LTC/USD,57.19,58.625,55.155,58.025,213157.260903059,12368450.0639
1658275200000.0,2022-07-20 00:00:00,LTC/USD,57.92,61.795,56.35,57.19,253780.87568456025,14513728.2804
1658188800000.0,2022-07-19 00:00:00,LTC/USD,58.615,59.6,55.8,57.92,244103.60325535218,14138480.70055
1658102400000.0,2022-07-18 00:00:00,LTC/USD,55.725,59.32,55.165,58.615,175918.63989422502,10311471.0774
1658016000000.0,2022-07-17 00:00:00,LTC/USD,55.08,57.005,54.46,55.725,358037.16550381336,19951621.0477
1657929600000.0,2022-07-16 00:00:00,LTC/USD,51.76,55.525,51.05,55.08,393719.8271432462,21686088.07905
1657843200000.0,2022-07-15 00:00:00,LTC/USD,51.275,52.715,50.585,51.76,440465.29550425045,22798483.6953
1657756800000.0,2022-07-14 00:00:00,LTC/USD,49.505,51.725,47.92,51.28,502709.38575858035,25778937.3017
1657670400000.0,2022-07-13 00:00:00,LTC/USD,47.28,49.68,46.4,49.505,609983.7306878093,30197244.5877
1657584000000.0,2022-07-12 00:00:00,LTC/USD,48.665,49.315,47.225,47.28,484096.52514170896,22888083.7087
1657497600000.0,2022-07-11 00:00:00,LTC/USD,52.09,52.24,48.22,48.665,426340.245217302,20747848.0335
1657411200000.0,2022-07-10 00:00:00,LTC/USD,54.04,55.015,50.645,52.09,367110.44899596844,19122783.2882
1657324800000.0,2022-07-09 00:00:00,LTC/USD,51.32,54.785,51.29,54.04,342122.4623695411,18488297.86645
1657238400000.0,2022-07-08 00:00:00,LTC/USD,52.12,53.985,50.755,51.32,406432.63788289163,20858122.97615
1657152000000.0,2022-07-07 00:00:00,LTC/USD,50.28,52.58,49.73,52.12,298969.5641231773,15582293.6821
