unix,date,symbol,open,high,low,close,Volume DOGE,Volume USD
1.64663E+12,3/7/2022 4:00,DOGE/USD,0.11912,0.12264,0.1133,0.11897,5104490.877,607281.2796
1.64657E+12,3/6/2022 12:00,DOGE/USD,0.12233,0.12391,0.11822,0.12003,3308132.885,397075.1901
1.64654E+12,3/6/2022 4:00,DOGE/USD,0.12414,0.12489,0.11822,0.11912,4061404.055,483794.451
1.64648E+12,3/5/2022 12:00,DOGE/USD,0.12391,0.12558,0.1215,0.12233,2336208.205,285788.3497
1.64645E+12,3/5/2022 4:00,DOGE/USD,0.1227,0.12558,0.12202,0.12414,1557129.54,193302.0611
1.6464E+12,3/4/2022 12:00,DOGE/USD,0.12819,0.12861,0.12019,0.12391,5549038.937,687581.4147
1.64637E+12,3/4/2022 4:00,DOGE/USD,0.12602,0.12861,0.12019,0.1227,7662723.762,940216.2056
1.64631E+12,3/3/2022 12:00,DOGE/USD,0.13205,0.13379,0.12488,0.12819,5707307.806,731619.7876
1.64628E+12,3/3/2022 4:00,DOGE/USD,0.13202,0.13379,0.12488,0.12602,3982072.613,501820.7907
1.64622E+12,3/2/2022 12:00,DOGE/USD,0.13482,0.13557,0.13063,0.13205,14403039.46,1901921.361
1.64619E+12,3/2/2022 4:00,DOGE/USD,0.13496,0.13496,0.13113,0.13202,1496062.948,197510.2304
1.64614E+12,3/1/2022 12:00,DOGE/USD,0.13194,0.146,0.13194,0.13482,84127769.4,11342105.87
1.64611E+12,3/1/2022 4:00,DOGE/USD,0.13259,0.146,0.1298,0.13496,84886789.74,11456321.14
1.64605E+12,2/28/2022 12:00,DOGE/USD,0.12403,0.13999,0.12292,0.13194,33796100.65,4459057.519
1.64602E+12,2/28/2022 4:00,DOGE/USD,0.12337,0.13999,0.12165,0.13259,32079828.63,4253464.478
1.64596E+12,2/27/2022 12:00,DOGE/USD,0.12749,0.12838,0.1212,0.12403,3078567.02,381834.6675
1.64593E+12,2/27/2022 4:00,DOGE/USD,0.12502,0.12838,0.1212,0.12337,3034324.003,374344.5523
1.64588E+12,2/26/2022 12:00,DOGE/USD,0.12664,0.12908,0.1239,0.12749,2397120.674,305608.9148
1.64585E+12,2/26/2022 4:00,DOGE/USD,0.12912,0.12967,0.1239,0.12502,2541989.421,317799.5174
1.64579E+12,2/25/2022 12:00,DOGE/USD,0.12406,0.13066,0.12329,0.12664,17338318.37,2195724.638
1.64576E+12,2/25/2022 4:00,DOGE/USD,0.12361,0.13066,0.12061,0.12912,18015617.56,2326176.539
1.6457E+12,2/24/2022 12:00,DOGE/USD,0.11187,0.12696,0.1104,0.12406,24076474.57,2986927.435
1.64568E+12,2/24/2022 4:00,DOGE/USD,0.11569,0.12498,0.11569,0.12361,1500006.853,185415.8471
1.64562E+12,2/23/2022 12:00,DOGE/USD,0.13394,0.13558,0.1067,0.11187,14564369.44,1629316.009
1.64559E+12,2/23/2022 4:00,DOGE/USD,0.13045,0.13558,0.11352,0.11569,8731066.04,1010097.03
1.64553E+12,2/22/2022 12:00,DOGE/USD,0.12929,0.135,0.12833,0.13394,4977808.211,666727.6317
1.6455E+12,2/22/2022 4:00,DOGE/USD,0.1256,0.132,0.12475,0.13045,4981674.181,649859.3969
1.64544E+12,2/21/2022 12:00,DOGE/USD,0.13509,0.13893,0.12398,0.12929,7701571.859,995736.2257
1.64542E+12,2/21/2022 4:00,DOGE/USD,0.13914,0.14186,0.12398,0.1256,7863646.432,987673.9919
1.64536E+12,2/20/2022 12:00,DOGE/USD,0.13701,0.14186,0.13413,0.13509,2756672.106,372398.8347
1.64533E+12,2/20/2022 4:00,DOGE/USD,0.1388,0.14012,0.13513,0.13914,3467413.827,482455.9598
1.64527E+12,2/19/2022 12:00,DOGE/USD,0.1409,0.14284,0.13513,0.13701,3773984.917,517073.6735
1.64524E+12,2/19/2022 4:00,DOGE/USD,0.14145,0.14633,0.1379,0.1388,3126803.684,434000.3514
1.64519E+12,2/18/2022 12:00,DOGE/USD,0.13999,0.14633,0.13612,0.1409,6456471.198,909716.7919
1.64516E+12,2/18/2022 4:00,DOGE/USD,0.14105,0.14284,0.13612,0.14145,5751777.245,813588.8913
1.6451E+12,2/17/2022 12:00,DOGE/USD,0.14729,0.1479,0.13716,0.13999,4588617.365,642360.545
1.64507E+12,2/17/2022 4:00,DOGE/USD,0.14799,0.14983,0.13716,0.14105,4365073.654,615693.639
1.64501E+12,2/16/2022 12:00,DOGE/USD,0.14963,0.15026,0.14624,0.14729,3691128.681,543666.3435
1.64498E+12,2/16/2022 4:00,DOGE/USD,0.15006,0.15026,0.14647,0.14799,2591781.965,383557.813
1.64493E+12,2/15/2022 12:00,DOGE/USD,0.15027,0.15237,0.14793,0.14963,3255362.998,487099.9654
1.6449E+12,2/15/2022 4:00,DOGE/USD,0.14836,0.15237,0.14737,0.15006,4897247.336,734880.9352
1.64484E+12,2/14/2022 12:00,DOGE/USD,0.14436,0.15134,0.14321,0.15027,5919803.079,889568.8087
1.64481E+12,2/14/2022 4:00,DOGE/USD,0.14528,0.14937,0.14292,0.14836,4465342.158,662478.1625
1.64475E+12,2/13/2022 12:00,DOGE/USD,0.15142,0.15792,0.14292,0.14436,21860395.35,3155766.673
1.64472E+12,2/13/2022 4:00,DOGE/USD,0.14455,0.15792,0.14357,0.14528,22903794.54,3327463.27
1.64467E+12,2/12/2022 12:00,DOGE/USD,0.14314,0.1558,0.1411,0.15142,4622587.08,699952.1356
1.64464E+12,2/12/2022 4:00,DOGE/USD,0.14518,0.14749,0.14065,0.14455,4440485.818,641872.225
1.64458E+12,2/11/2022 12:00,DOGE/USD,0.15248,0.15432,0.14065,0.14314,6681964.227,956456.3595
1.64455E+12,2/11/2022 4:00,DOGE/USD,0.15222,0.15432,0.14221,0.14518,5874650.982,852881.8296
1.64449E+12,2/10/2022 12:00,DOGE/USD,0.15936,0.1599,0.14891,0.15248,10530670.45,1605716.631
1.64447E+12,2/10/2022 4:00,DOGE/USD,0.15783,0.16056,0.14891,0.15222,10885458.08,1656984.429
1.64441E+12,2/9/2022 12:00,DOGE/USD,0.15789,0.16236,0.15621,0.15936,8062798.914,1284887.635
1.64438E+12,2/9/2022 4:00,DOGE/USD,0.15595,0.1597,0.15595,0.15783,130539.4192,20603.03653
1.64432E+12,2/8/2022 12:00,DOGE/USD,0.15976,0.16015,0.15318,0.15789,8321293.012,1313848.954
1.64429E+12,2/8/2022 4:00,DOGE/USD,0.16525,0.16985,0.15318,0.15595,12521591.27,1952742.158
1.64424E+12,2/7/2022 12:00,DOGE/USD,0.15755,0.17312,0.15609,0.15976,23243600.37,3713397.595
1.64421E+12,2/7/2022 4:00,DOGE/USD,0.1595,0.17312,0.15493,0.16525,18851730.52,3115248.468
1.64415E+12,2/6/2022 12:00,DOGE/USD,0.14711,0.16104,0.14471,0.15755,10251633.43,1615144.847
1.64412E+12,2/6/2022 4:00,DOGE/USD,0.14809,0.16104,0.14471,0.1595,9124635.822,1455379.414
